OurAffLink,Title,Image,Price,Merchant,Points,Team,Type,Season,ID
http://www.awin1.com/pclick.php?p=3517681809&a=215431&m=6716,2012-13 Chelsea Home Shirt *BNIB* 3XL,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-12-home-tags-3xl.jpg,11.99,classic football shirts,0,Chelsea,shirt,2012,63
http://www.awin1.com/pclick.php?p=3517681811&a=215431&m=6716,2012-13 Chelsea GK Shirt *BNIB* L.Boys,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-12-gk-green-boys-tags.jpg,8.99,classic football shirts,0,Chelsea,shirt,2012,64
http://www.awin1.com/pclick.php?p=3517681843&a=215431&m=6716,2013-15 Chelsea GK Home Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-13-gk-yell-tags_1.jpg,29.99,classic football shirts,0,Chelsea,shirt,2013,65
http://www.awin1.com/pclick.php?p=3517681845&a=215431&m=6716,2014-15 Chelsea Home Shirt (outsize) *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-13-home-tags-4xl.jpg,14.99,classic football shirts,0,Chelsea,shirt,2014,66
http://www.awin1.com/pclick.php?p=3517681901&a=215431&m=6716,2012-13 Chelsea Home L/S Shirt *BNIB* 3XL,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-12-home-ls-tags-3xl.jpg,12.99,classic football shirts,0,Chelsea,shirt,2012,67
http://www.awin1.com/pclick.php?p=3517681945&a=215431&m=6716,2014-15 Chelsea Away Shirt & Shorts Kit *BNIB* BOYS,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-14-away-kit-tags-set.jpg,17.99,classic football shirts,0,Chelsea,shirt,2014,68
http://www.awin1.com/pclick.php?p=3517681975&a=215431&m=6716,2014-15 Hull City Home Shirt *BNIB* XL.Boys,https://www.classicfootballshirts.co.uk/media/catalog/product/h/u/hull-14-home-boys-tags.jpg,8.99,classic football shirts,0,Hull City,shirt,2014,69
http://www.awin1.com/pclick.php?p=3517681977&a=215431&m=6716,2014-15 Hull City Away Shirt *BNIB* XL.Boys,https://www.classicfootballshirts.co.uk/media/catalog/product/h/u/hull-14-away-boys-tags.jpg,8.99,classic football shirts,0,Hull City,shirt,2014,70
http://www.awin1.com/pclick.php?p=3517682631&a=215431&m=6716,2014-15 Liverpool Home Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-14-home-tags_4_6_1.jpg,19.99,classic football shirts,0,Liverpool,shirt,2014,71
http://www.awin1.com/pclick.php?p=3517682727&a=215431&m=6716,2014-15 Chelsea Third Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-14-third-tags2_1_2_2.jpg,27.99,classic football shirts,0,Chelsea,shirt,2014,72
http://www.awin1.com/pclick.php?p=3517682729&a=215431&m=6716,2014-15 Chelsea Third L/S Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-14-third-ls-tags_2_1_2.jpg,24.99,classic football shirts,0,Chelsea,shirt,2014,73
http://www.awin1.com/pclick.php?p=3517682731&a=215431&m=6716,2014-15 Chelsea Home L/S Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-14-home-ls-tags2_2_3_1.jpg,24.99,classic football shirts,0,Chelsea,shirt,2014,74
http://www.awin1.com/pclick.php?p=3517682733&a=215431&m=6716,2014-15 Chelsea Away L/S Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-14-away-ls-tags2_1_2_2.jpg,22.99,classic football shirts,0,Chelsea,shirt,2014,75
http://www.awin1.com/pclick.php?p=3517682779&a=215431&m=6716,2014-15 Liverpool GK Third Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-14-gk-grey-tags_2.jpg,22.99,classic football shirts,0,Liverpool,shirt,2014,76
